,es,en
monsta,"[shake rate=20.0 level=5 connected=1]¿Puedes verlo?[/shake]","[shake rate=20.0 level=5 connected=1]You can see it?[/shake]"
monstwo,"No se lo digas a nadie.
Por favor, te lo ruego.","Don’t tell anyone.
Please, I beg you."
po1,Puedo decir que estás incompleta,I can tell you’re incomplete
po2,¿Dónde está el resto de ti?,Where’s the rest of you?
po3a,"Pareces [i]menos[/i] humana","You seem [i]less[/i] human"
po3b,No eres una de nosotros,You’re not one of us.
sha1,Para mi no tenes nombre,You have no name for me
shadows,¿Qué soy yo? ¿Porque no lo sabrías?,What am I? Why don’t you know?
sha3,"¿Estás celosa?
Yo nací así, ¿por qué tú no?","Are you jealous?
I was born like this, why weren’t you?"
male1,(Conozco este monólogo),(I know this monologue)
male2,(Es menos convincente que la última vez),(It’s less convincing than last time)
male3,(¿No conoce su parte?),(Does he not know his part?)
female1,(Ella conoce bien su parte),
female2,(No puedo leer por sobre ella),
female3,(¿Fui tan convincente?),
bi1,"[shake rate=5.0 level=1 connected=1]Siempre puedo contar con esto para hacerme llorar.[/shake]","[shake rate=10.0 level=2 connected=1]I can always count on this to make me cry[/shake]."
bi2,Un cuento tan antiguo como el tiempo.,A tale as old as time
bi3,Esto me hace sentir nostalgia...,This makes me homesick...
bi4,Pareces familiar...,You look familiar...
bi5,¿Por qué no estás en el escenario?,Why aren’t you on the stage?
bi6,¿Esto te hace querer despertar?,Does this make you want to wake up?
do1,"Los ojos están allá arriba, pero aquí abajo también hay espectaculo.","The eyes are up there, but it’s happening down here too"
dos,"Es demasiado real, no puedo mirar","It’s too real, I can’t look"
do3,Yo llamo a esto reconocimiento,I call this acknowledgement
ws1,No deberías estar aquí,You should not be here
ws2,"¡Andate, cipotilla!","Scram, kid!"
ws3,"Incluso para ti, esto está demasiado lejos","Even for you, this is too far"
ws4,"¿Qué quieres decir con que llegaste?, ¡nunca te fuiste!","What do you mean you arrived?, you’ve never left!"
dol1,(¿Estamos haciendo contacto visual?),(Are we making eye contact?)
dols,(Esta muñeca está sonriendo),(This doll is smiling)
dol3,(¿cabré dentro?),(Would I fit inside?)
dol4,"(Es seguro aquí, debería quedarme)","(It’s safe here, I should just stay)"
pet1,No te esperó,It didn’t wait for you.
Epet,"Tomaste la [rainbow freq=1.0 sat=0.8 val=0.8]Correa[/rainbow]","You take the [rainbow freq=1.0 sat=0.8 val=0.8]leash[/rainbow]"
mul1,"¿Aspiras a ser como yo?
Qué insultante.","You aspire to be like me?
How insulting."
mul2,"Te diré algo, reúne estas cosas ...","Tell you what, gather these ..."
mul3,"¿No sirvió?.
Mira, te daré mi posesión más valiosa.","That didn’t work?.
Tell you what, I’ll give you my most prized possession."
mul4,Lo que más aprecio.,The thing I hold most dearest.
Emul,"Recives: [rainbow freq=1.0 sat=0.8 val=0.8]Espacio en Blanco[/rainbow]","Receive: [rainbow freq=1.0 sat=0.8 val=0.8]Blank Space[/rainbow]"
mul5,"¿No te gustó?
Puedes irte ahora.","You didn’t like it?
You can leave now."

