,es,en
Money,"Recives: [rainbow freq=1.0 sat=0.8 val=0.8]Dolares[/rainbow]","Receive: [rainbow freq=1.0 sat=0.8 val=0.8]dollars[/rainbow]"
V1,"Hey, buenas tardes, ¿como esta?","Hey, good afternoon, how are you?"
V2,"Bien, corazon, ¿que la trae por aca?, le tengo producto del bueno mire ve","Well, sweetheart, what brings you here? I have good product for you, look, see."
V3A,"Yo porai andaba en un cerro, me salio el de la noche y un latigazo me dio","I was walking on a hill, the judge saw me and he gave me a whiplash."
V4,"Aprovenchado el viaje, ¿no le interesaria comprar este zapato que coseche? a 7 pesos se lo dejo","Since I'm here, aren't you interested in buying this shoe that I picked up recently?I'll sell it for 7 dollars"
V5,"Señamelo","Let me see it"
V6,"*snif snif* parece que es del bueno, pero no estoy seguro de que se venda rapido, no muchos pasan por aca, capaz hasta me lo termino teniendo que comer yo, te doy 3 pesos","*snif snif* it seems like it's a good one, but I'm not sure it will sell quickly, there aren't many people around here, I might end up having to eat it myself, I'll give you 3 dollars"
V7,"¿¡Cual!? ¿a cora no lo quiere?, si es producto exotico, lo va a querrer la gente, a 5 lo menos que se lo puedo dar","Which!? If you don't want it for 25 cents? If it's an exotic product, people will want it, for the least 5 dollars I can give it to them."
V8,"es verdad que de éstos no se cultivan por estas zonas, te doy 4 pesos por cada uno si sabes de donde traerme mas, creo que se donde vender por mayoreo","These are not grown in these areas, I will give you 4 dollars for each one if you know where to get me more, I think I know where to wholesale."
V9,"Vaya ta bueno, ¿me compra esta ahorita para hacer el trato con el dueño de la siembra? para que vea que no le miento","Okay, so good, can you buy me this right now to take to the owner of the plantation? so he can see that I'm not lying to him"
V9,"Va pues, pero me traes el producto. (Imagino que no volvera, ahh, la juventud de estos dias)","Ok, but you bring me the product. (I imagine she won't come back, ahh, the youth of these days)"
Se1,Soy vendedor porque me venden cosas,I am a seller because people sell me things
Se2,"Que hermosa que es Lian, por ratos callada, por ratos ruidosa, nunca sabes que hara o como lo hara, la veo en todas las personas, Let's all love Lain","How beautiful Lian is, at times quiet, at times loud, you never know what she will do or how she will do it, I see her in everyone, Let's all love Lain"
